framework_id,name,classification,current_version_or_revision,status_as_of_2026_08_12,hdp_coverage,material_omissions_or_non_fit,fit_for_hdp,recommended_adoption,adoption_level,key_risks,primary_source_ids
oracle-agent-spec,"Oracle Open Agent Specification (Agent Spec)",emerging_open_specification,"Stable SDK 26.1.2; language 26.1.0; main 26.2.0.dev7","Stable release exists; language and development versions differ","Agent/flow topology; LLM and provider configuration; tools; MCP/A2A components; typed I/O; serialization; sensitive fields; runtime adapters","Does not cover the full purpose-to-outcome requirements model, evaluator custody, assurance claims, evidence integrity/retention, risk acceptance, operational invalidation, or HDP package resolution","High as an optional executable agent/flow profile; low as the HDP root model","Define a versioned Agent Spec adapter/profile and preserve exported Agent Spec as a generated artifact with source and output digests; do not make it the canonical HDP document","adopt_by_reference_optional_profile","Version drift between SDK, language payload, and development docs; adapter behavior can reduce portability; extensibility may hide runtime-specific semantics","oracle-agent-spec-home-26.1.2;oracle-agent-spec-release-26.1.2;oracle-agent-spec-main-version;oracle-agent-spec-language-26.1.0"
oracle-create-agent-spec,"Oracle create-agent-spec skill",implementation_guidance,"Bundled in Agent Spec 26.1.2; added 2026-05-15","Released authoring skill in the Oracle repository; not normative language text","Intent parsing; Agent-versus-Flow choice; SDK construction/export; MCP/tool selection; input/output contracts; secret handling; side-effect confirmation; validation","No stable skill-spec version of its own; no HDP requirements, evaluator, assurance, traceability, or package semantics; relies on Python SDK availability","High for an adapter-generation skill; not suitable as a conformance source","Reuse its build-through-SDK, no-handwritten-serialization, round-trip validation, secret exclusion, and confirmation patterns in the HDP Agent Spec generator; cite it as guidance only","adapt_procedure","Skill behavior can change with repository releases; generator availability and runtime adapters remain prerequisites","oracle-create-agent-spec-skill"
oracle-agent-spec-eval,"Agent Spec Eval",emerging_extension_specification,"Included in stable PyAgentSpec 26.1.2","Released extension and SDK surface","Datasets; samples; deterministic and LLM metrics; evaluator orchestration; retries; repetition/ensembles; result details; concurrency; sensitive evaluation data","Does not by itself enforce an evaluator trust boundary, hidden-fixture custody, system-under-test execution, side-effect state verification, business-outcome traceability, assurance claim issuance, or evidence integrity","Medium-high as an evaluation adapter","Map HDP public datasets/metrics/result schemas to Agent Spec Eval where useful, but keep the HDP evaluator external, independently versioned, and authoritative; Agent Spec Eval output is evidence input, not final acceptance by definition","adopt_by_reference_optional_adapter","LLM-judge non-determinism; evaluator leakage if used inside the harness; retries can hide instability; result details may contain sensitive data","oracle-agent-spec-eval-26.1.2"
oracle-agent-spec-tracing,"Agent Spec Tracing",emerging_extension_specification,"Included in stable PyAgentSpec 26.1.2; development docs continue evolving","Released extension with standard event/span semantics","LLM, tool, agent, flow, node, state, exception, confirmation, and human-in-loop spans/events; correlation identifiers; sensitive-field marking; processor interface","No canonical evidence ledger, artifact digest/attestation, retention/custody, sampling completeness proof, policy-decision model, business outcome, or assurance graph","High as an observability vocabulary adapter","Use as one accepted trace input vocabulary and define a lossless mapping to HDP observations/evidence; add HDP provenance, integrity, retention, audience, completeness, and claim links outside the trace model","adopt_by_reference_optional_adapter","Trace payloads can expose prompts, tool I/O, state, and errors; asynchronous exporters may drop events; event presence does not prove completeness or correctness","oracle-agent-spec-tracing-26.1.2"
json-schema,"JSON Schema",mature_open_technical_specification,"Draft 2020-12, published 2022-06-16","Current published version; newer snapshot work is not a released draft","Canonical structural grammar; typed objects and arrays; references; composition; annotations; conditional constraints; vocabularies; meta-schema validation","Cannot enforce most cross-document reference, semantic, implementation, outcome, temporal, authorization, or assurance rules","Very high for HDP structural validation","Make Draft 2020-12 the normative structural layer; pin $schema and $id; keep L2+ semantic checks and evaluator gates separate; ship conformance fixtures and validate the schema against its meta-schema","normative_core","Validator feature variance; ambiguous format assertion unless vocabulary behavior is explicit; remote reference fetching creates supply-chain and availability risk","json-schema-2020-12"
agent-skills,"Agent Skills",emerging_living_specification,"Unnumbered living main; snapshot 69ef37e9424c0a7ea9dd2293b559e43ec8176379","Open, cross-product format; no tags or releases observed","Portable procedural knowledge; SKILL.md discovery and activation; progressive disclosure; optional scripts, references, and assets","No normative input/output schema, dependency lock, execution isolation, permission enforcement, artifact provenance, evaluator boundary, conformance version, or assurance model","High for packaging the HDP analysis/authoring skill; low for the HDP definition itself","Publish a separate HDP analysis/generation skill that follows Agent Skills, pins its own package version and dependencies, validates its outputs, and treats allowed-tools as advisory unless the host enforces them","adopt_for_portable_skill","Living-spec drift; instruction injection and executable script risk; client support differs; experimental allowed-tools is not a security boundary","agent-skills-living-spec"
mcp,"Model Context Protocol (MCP)",emerging_open_protocol,"2026-07-28","Released current protocol revision; modern stateless core introduces breaking changes from 2025-11-25","Tool, resource, and prompt discovery/invocation; client/server capability discovery; transports; authorization; elicitation/MRTR; structured schemas; extensions","Does not define harness intent, internal orchestration, model behavior, evaluator independence, outcome measures, assurance claims, tool semantic safety, or business authorization policy","High for tool/context interface contracts","Represent MCP as an explicit tool/resource protocol binding with pinned revision and capability expectations; validate schemas and auth metadata; keep HDP permissions, approval, data, retry, idempotency, and evidence policies authoritative","adopt_by_reference_protocol_binding","Major migration from stateful legacy era; authorization complexity; tool descriptions are untrusted input; server capability/runtime drift; deprecated roots/sampling/logging","mcp-spec-2026-07-28;mcp-release-2026-07-28"
a2a,"Agent2Agent (A2A) Protocol",emerging_open_protocol,"Repository release 1.0.1; negotiated protocol 1.0; published page labels 1.0.0","Stable 1.0 protocol family; patch is ignored for protocol compatibility","Agent discovery and signed Agent Cards; agent interfaces; tasks, messages, parts, artifacts; streaming/polling/push; multi-tenancy; version negotiation; security schemes","Does not define internal multi-agent orchestration, shared memory consistency, delegation authority, business acceptance, evaluator custody, evidence integrity, or end-to-end assurance","High for external agent-to-agent interfaces; low for internal harness topology","Use A2A only where a role crosses a process, trust, vendor, or organizational boundary; pin implementation release and declare negotiated 1.0 compatibility; bind Agent Card claims to separately verified HDP capability/evidence records","adopt_by_reference_protocol_binding","Agent Card claims may be stale or self-asserted; 0.3-to-1.0 wire break; a signature proves bytes against a key but trust still depends on key binding and does not prove capability; remote delegation expands authorization and data boundaries","a2a-spec-1.0;a2a-release-1.0.1"
openapi,"OpenAPI Specification",stable_open_industry_specification,"3.2.0, published 2025-09-19","Latest published specification","Language-agnostic HTTP API operations, inputs/outputs, security schemes, servers, callbacks/webhooks, streaming media, reusable schemas, extension points","Does not specify implementation behavior, authorization decisions, side-effect safety, runtime availability, evaluator logic, or assurance evidence; its informational schema is not the normative text","High for HTTP tool/provider/evaluator interfaces","Allow version-pinned OpenAPI 3.2.0 contracts by reference and digest; extract operation IDs and schemas into semantic checks; require validator/toolchain capability declaration and never treat schema validation as behavioral proof","adopt_by_reference_interface_contract","3.2 tooling support may lag; specification extensions can become opaque; remote references and Markdown require sanitization; schema cycles can exhaust parsers","openapi-3.2.0"
oasf,"Open Agentic Schema Framework (OASF)",emerging_open_schema_framework,"v1.1.0, released 2026-07-10","Active release; some official guide examples still use schema 1.0.0 and Draft-07","Agent record metadata; skill/domain taxonomies; modules; locators; discovery; versioned records; validation and translation services","Focuses on discovery and declared capabilities, not executable harness behavior, requirements/outcomes, evaluator separation, permission enforcement, evidence strength, or assurance validity; schema dialect differs from HDP","Medium for registry/export metadata","Provide an optional OASF 1.1.x export/profile for HDP identity, capabilities, modules, and locators; retain HDP URIs/digests and verification state; never convert self-declared OASF skills into assurance claims","adopt_by_reference_optional_export","Taxonomy and release drift; guide/release mismatch; Draft-07 versus HDP Draft 2020-12; validation API and generated schema differ in coverage; discovery claims can be mistaken for verified capability","oasf-overview;oasf-release-1.1.0;oasf-record-guide"
